brand,product_name,finish,skin_type,price_range,ingredients,ingredients_source,fragrance_free,hypoallergenic,derm_tested,where_to_buy,open_beauty_facts_url,source
Benefit Cosmetics,The POREfessional: Hydrate Primer,hydrating,"[""seco"", ""normal""]",$30-$34,-Hyaluronic Acid: Attracts moisture and helps maintain hydration.-Shea Butter Extract: Soothes and moisturizes.Aqua (Water)- Cyclopentasiloxane- Glycerin- Dimethicone/Vinyl Dimethicone Crosspolymer- Diglycerin- Methyl Methacrylate Crosspolymer- Dimethicone- Dimethicone Crosspolymer- Pentylene Glycol- Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer- Isohexadecane- Phenoxyethanol- Diphenylsiloxy Phenyl Trimethicone- Cyclohexasiloxane- Silica- Butyrospermum Parkii (Shea) Butter- Isoceteth-10- Polysorbate 60- Parfum (Fragrance)- Dimethicone/Phenyl Vinyl Dimethicone Crosspolymer- Sorbitan Isostearate- Sodium Hyaluronate- Limonene- Triethoxycaprylylsilane- Bht- Alumina- Magnesium Oxide- Tocopherol. [+/-: Ci 19140 (Yellow 5- Yellow 5 Lake)- Ci 42090 (Blue 1 Lake)- Ci 77007 (Ultramarines)- Ci 77163 (Bismuth Oxychloride)- Ci 77491- Ci 77492- Ci 77499 (Iron Oxides)- Ci 77891 (Titanium Dioxide)].Product ingredient listings are updated periodically. Before using a benefit product- please read the ingredient list on the packaging of your product to be sure that the ingredients are appropriate for your personal use.,sephora,False,,,https://www.sephora.com/product/benefit-cosmetics-the-porefessional-hydrate-primer-P453269?icid2=products grid:p453269,,sephora/open-dataset
Benefit Cosmetics,The POREfessional: Matte Rescue Invisible Finish Mattifying Gel,matte,"[""oleoso""]",$30-$34,Water- Glycerin- Propanediol- Silica- Dimethicone- Butylene Glycol- Fomes Officinalis (Mushroom) Extract- Alcohol- Methyl Trimethicone- Pentylene Glycol- Polymethylsilsesquioxane- Peg-60 Hydrogenated Castor Oil- Phenoxyethanol- Dimethicone/Vinyl Dimethicone Crosspolymer- Acrylates/C10-30 Alkyl Acrylate Crosspolymer- Fragrance- Sodium Hydroxide- Tetrasodium Edta- Sodium Hyaluronate- Limonene- Peg-40 Hydrogenated Castor Oil- Diamond Powder- Ci 42090 (Blue 1)- Ci 19140 (Yellow 5)- Bht- Tocopherol- N 09157/E.,sephora,False,,,https://www.sephora.com/product/the-porefessional-matte-rescue-invisible-finish-mattifying-gel-P405169?icid2=products grid:p405169,,sephora/open-dataset
Benefit Cosmetics,The POREfessional: Mini Hydrate Primer,hydrating,"[""seco"", ""normal""]",$10-$14,-Hyaluronic Acid: Attracts moisture and helps maintain hydration.-Shea Butter Extract: Soothes and moisturizes.Aqua (Water)- Cyclopentasiloxane- Glycerin- Dimethicone/Vinyl Dimethicone Crosspolymer- Diglycerin- Methyl Methacrylate Crosspolymer- Dimethicone- Dimethicone Crosspolymer- Pentylene Glycol- Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer- Isohexadecane- Phenoxyethanol- Diphenylsiloxy Phenyl Trimethicone- Cyclohexasiloxane- Silica- Butyrospermum Parkii (Shea) Butter- Isoceteth-10- Polysorbate 60- Parfum (Fragrance)- Dimethicone/Phenyl Vinyl Dimethicone Crosspolymer- Sorbitan Isostearate- Sodium Hyaluronate- Limonene- Triethoxycaprylylsilane- Bht- Alumina- Magnesium Oxide- Tocopherol. [+/-: Ci 19140 (Yellow 5- Yellow 5 Lake)- Ci 42090 (Blue 1 Lake)- Ci 77007 (Ultramarines)- Ci 77163 (Bismuth Oxychloride)- Ci 77491- Ci 77492- Ci 77499 (Iron Oxides)- Ci 77891 (Titanium Dioxide)].Product ingredient listings are updated periodically. Before using a benefit product- please read the ingredient list on the packaging of your product to be sure that the ingredients are appropriate for your personal use.,sephora,False,,,https://www.sephora.com/product/benefit-cosmetics-the-porefessional-mini-hydrate-primer-P453917?icid2=products grid:p453917,,sephora/open-dataset
Bite Beauty,Changemaker Skin-Optimizing Primer,hydrating,"[""oleoso"", ""seco"", ""normal""]",$35-$39,-Hyaluronic Acid Complex: A specialized blend of micronized hyaluronic particles and sodium PCA for enhanced hydration.-Olive Oil: Helps boost hydration. -Maqui Berry: An antioxidant-rich ingredient that helps nurture your complexion. Aqua/Water/Eau- Propanediol Dicaprylate- Propanediol- Triolein- Ceteareth-6 Olivate- Lactobacillus Ferment- Dimethicone/Vinyl Dimethicone Crosspolymer- Dimethicone- Glyceryl Dioleate- Microcrystalline Cellulose- Polyacrylate Crosspolymer-6- Hydrogenated Olive Oil- Cellulose Gum- Olea Europaea (Olive) Fruit Oil- Polysilicone-11- Glycerin- Butyrospermum Parkii (Shea) Butter- Trisodium Ethylenediamine Disuccinate- Pectin- Xanthan Gum- Pentylene Glycol- Silica- Olea Europaea (Olive) Oil Unsaponifiables- Lecithin- Citric Acid- Fructose- Sodium Hydroxide- Urea- Maltose- Tocopherol- Allantoin- Sodium Chloride- Sodium Lactate- Sodium Pca- Trehalose- Ascorbyl Palmitate- Decyl Glucoside- Agave Tequilana Leaf Extract- Aristotelia Chilensis Fruit Extract- Sodium Hyaluronate Crosspolymer- Sodium Hyaluronate- Glucose- Phenoxyethanol- Caprylyl Glycol- Hexylene Glycol- Hydrolyzed Glycosaminoglycans- Benzyl Glycol- Ethylhexylglycerin- Hyaluronic Acid- Hydrolyzed Hyaluronic Acid- Raspberry Ketone.Clean at Sephora products are formulated without:Sulfates—SLS + SLES- Parabens- Formaldehydes- Formaldehyde-releasing agents- Phthalates- Mineral Oil- Retinyl Palmitate- Oxybenzone- Coal Tar- Hydroquinone- Triclosan- Triclocarban- Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate- ethyl methacrylate- methyl methacrylate- butyl methacrylate- hydroxypropyl methacrylate- tetrahydrofurfuryl methacrylate- trimethylolpropane trimethacrylate - aluminum salts)- Animal Oils/Musks/Fats- Benzophenone + Related Compounds- Butoxyethanol- Carbon Black- Lead/Lead Acetate- Methyl Cellosolve + Methoxyethanol- Methylchloroisothiazolinone & Methylisothiazolinone- Mercury + Mercury Compounds (Thimerisol)- Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off )- Resorcinol- Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.)- Toluene- Butylated hydroxyanisole (BHA)- Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula- Ethanolamines DEA/TEA/MEA/ETA- Nanoparticles as defined by the European Commission- Petrolatum and Parrafin that is not USP grade- Phenoxyethanol that is 1% or more of total formulation- Polyacrylamide & Acrylamide- The following types of Styrene (Bromostyrene- Deastyrene/acrylates/dvbcopolymer- sodium styrene/divinylbenzene copolymer - styrene oxide- styrene)- 1-4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off- wiped off or removed- 3ppm or < for products that are meant to remain on the skin).,sephora,False,,,https://www.sephora.com/product/bite-beauty-changemaker-skin-optimizing-primer-vegan-P454741?icid2=products grid:p454741,,sephora/open-dataset
Bobbi Brown,Primer Plus Mattifier,hydrating,"[""oleoso"", ""misto"", ""seco"", ""sensivel"", ""normal""]",$40-$44,-Innovative Jellifying Agent: Creates a smooth and cool- breathable texture with matte finish.-Special Powder Technology: Absorbs oil and delivers the optical correction of the size of pores and imperfections.-Sodium Hyaluronate: Attracts and binds moisture to skin to help balance the skin’s natural moisture levels and prevent dehydration. Water- Glycerin- Dimethicone- Methyl Methacrylate Crosspolymer- Propanediol- Sodium Acrylates Crosspolymer-2- Peg-7 Trimethylolpropane Coconut Ether- Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer- Dimethicone/Vinyl Dimethicone Crosspolymer- Pectin- Amodimethicone- Hydroxyacetophenone- Polyisobutene- Caprylyl Glycol- 1-2-Hexanediol- Sodium Hyaluronate- Pentylene Glycol- Trideceth-9- Carbomer- Sodium Hydroxide- Peg-40 Hydrogenated Castor Oil- Polysorbate 20- Xanthan Gum- Fragrance- Silica- Disodium EDTA- Hexyl Cinnamal- Linalool- Limonene- Phenoxyethanol.,sephora,False,,,https://www.sephora.com/product/primer-plus-mattifier-P432842?icid2=products grid:p432842,,sephora/open-dataset
Bobbi Brown,Primer Plus Radiance SPF 35,hydrating,"[""seco""]",$40-$44,Water- Ethylhexyl Methoxycinnamate- Ethylhexyl Salicylate- Zinc Oxide- Dimethicone- Benzophenone-3 (Oxybenzone)- Butylene Glycol- Phenyl Trimethicone- Pentylene Glycol- Glyceryl Stearate- Behenyl Alcohol- Trioctyldodecyl Citrate- Polymethylsilsesquioxane- Octyldodecyl Stearoyl Stearate- PEG-40 Stearate- Polyglyceryl-10 Pentastearate- Titanium- Dioxide- Pyrus Malus (Apple) Fruit Extract- Triticum- Vulgare (Wheat) Germ Extract- Cucumis Sativus (Cucumber)- Fruit Extract- Laminaria Saccharina Extract- Acetyl- Hexapeptide-8- Scutellaria Baicalensis Root Extract- Hordeum Vulgare (Barley) Extract/Extrait d’Orge- Polyquaternium-- 51- Oryzanol- Glycyrrhetinic Acid- Octyldodecyl- Neopentanoate- Trehalose- Propylene Glycol- Laurate- Sucrose- Glycerin- Caffeine- Cholesterol- Sodium Hyaluronate- Linoleic Acid- Lecithin- Squalane- Propylene Glycol Stearate- Urea- Ammonium Acryloyldimethyltaurate/- VP Copolymer- Polyglyceryl-6 Polyricinoleate- Polysorbate 20- Tocopheryl Acetate- Sodium- Stearoyl Lactylate- Stearic Acid- Sorbitan Laurate- Xanthan Gum- Aluminum Hydroxide- Sodium PCA- Isopropyl Titanium Triisostearate- Sodium Dehydroacetate- Triethoxycaprylylsilane- Silica- Disodium EDTA- Chlorphenesin- Phenoxyethanol- [+/- Mica- Ferric- Ferrocyanide (CI 77510)- Carmine (CI 75470)- Titanium- Dioxide (CI 77891)- Iron Oxides (CI 77491)- Iron Oxides- (CI 77492)- Blue 1 Lake (CI 42090)- Iron Oxides (CI- 77499)- Yellow 5 Lake (CI 19140)- Chromium Oxide- Greens (CI 77288)- Chromium Hydroxide Green (CI 77289)- Bismuth Oxychloride (CI 77163)- Ferric Ammonium Ferrocyanide (CI 77510)].,sephora,,,,https://www.sephora.com/product/primer-plus-glow-spf-35-P432843?icid2=products grid:p432843,,sephora/open-dataset
CLINIQUE,Redness Solutions Daily Protective Base SPF 15,natural,"[""normal"", ""misto""]",$25-$29,Titanium Dioxide 6.40% - Zinc Oxide 2.00%Water - Trioctyldodecyl Citrate - Cyclopentasiloxane - Butylene Glycol - C12-15 Alkyl Benzoate - Steareth-2 - Stearyl Dimethicone - Tricaprylyl Citrate - Silica - Barium Sulfate - Sorbitan Tristearate - Aluminum Stearate - Ascophyllum Nodosum Extract - Asparagopsis Armata Extract - Lecithin - Sea Whip Extract - Glyceryl Stearate - Tocopheryl Acetate - Peg-100 Stearate - Sucrose - Pantethine - Caffeine - Octyldodecyl Neopentanoate - Ceteth-2 - Peg-40 Stearate - Dimethicone - Cetearyl Alcohol - Peg/Ppg-18/18 Dimethicone - Steareth-20 - Bisabolol - Magnesium Ascorbyl Phosphate - Polyglyceryl-6 Polyricinoleate - Sorbitol - Phytosphingosine - Sodium Stearate - Magnesium Aluminum Silicate - Caprylyl Glycol - Isopropyl Titanium Triisostearate - Stearic Acid - Hexylene Glycol - Xanthan Gum - Disodium Edta - Phenoxyethanol - Iron Oxides (Ci 77491- Ci 77492- Ci 77499) - Chromium Hydroxide Green (Ci 77289),sephora,,,,https://www.sephora.com/product/redness-solutions-daily-protective-base-spf-15-P201441?icid2=products grid:p201441,,sephora/open-dataset
CLINIQUE,Superprimer Face Primer - Colour Corrects Redness,natural,"[""normal"", ""misto""]",$30-$34,Cyclopentasiloxane - Dimethicone - Hdi/Trimethylol Hexyllactone Crosspolymer - Silica - Isononyl Isononanoate - Isododecane - Dimethicone/Vinyl Dimethicone Crosspolymer - Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer - Polymethyl Methacrylate - Lauroyl Lysine - Ethylhexylglycerin - Phytosteryl/Octyldodecyl Lauroyl Glutamate - Methicone - Hydrolyzed Soy Protein - Stearyl Glycyrrhetinate - Coconut Acid - Water - Tocopheryl Acetate - Phenoxyethanol - [+/- Mica - Titanium Dioxide (Ci 77891) - Carmine (Ci 75470) - Yellow 5 Lake (Ci 19140) - Manganese Violet (Ci 77742) - Chromium Oxide Greens (Ci 77288) - Chromium Hydroxide Green (Ci 77289) - Bismuth Oxychloride (Ci 77163) - Iron Oxides (Ci 77491- Ci 77492- Ci 77499) - Blue 1 Lake (Ci 42090) - Red 7 Lake (Ci 15850) - Ultramarines (Ci 77007)],sephora,,,,https://www.sephora.com/product/superprimer-face-primer-colour-corrects-redness-P382502?icid2=products grid:p382502,,sephora/open-dataset
CLINIQUE,Superprimer Face Primer - Universal Face Primer,natural,"[""normal"", ""misto""]",$30-$34,Water- Dimethicone- Cyclopentasiloxane- Polysilicone-11- Silica- Dimethicone Silylate- Sucrose- Isopentyldiol- Algae Extract- Saccharide Isomerate- Hypnea Musciformis (Algae) Extract- Gellidiela Acerosa (Algae) Extract- Caffeine- Poria Cocos Sclerotium Extract- Camellia Sinensis (Green Tea) Leaf Extract- Vitis Vinifera (Grape) Fruit Extract- Sodium Hyaluronate- Scutellaria Baicalensis Root Extract- Laminaria Saccharina Extract- Morus Bombycis (Mulberry) Root Extract- Amorphophallus Konjac Root Powder- Peg-10 Dimethicone- Polysorbate 20- Ammonium Acryloyldimethyltaurate/Vp Copolymer- Hdi/Trimethylol Hexyllactone Crosspolymer- Peg/Ppg-18/18 Dimethicone- Laureth-7- Stearyl Dimethicone- Butylene Glycol- Polyethylene- Isododecane- Acrylates/Ethylhexyl Acrylate Copolymer- Laureth-21- Caprylyl Glycol- Tocopheryl Acetate- Magnesium Myristate- Magnesium Ascorbyl Phosphate- Triethoxycaprylylsilane- Hexylene Glycol- Phenoxyethanol- [+/- Titanium Dioxide (Ci 77891)- Mica- Bismuth Oxychloride (Ci 77163)- Iron Oxides (Ci 77491- Ci 77492- Ci 77499)].,sephora,,,,https://www.sephora.com/product/superprimer-face-primer-universal-face-primer-P382504?icid2=products grid:p382504,,sephora/open-dataset
COOLA,Dawn Patrol™ Classic Makeup Primer SPF 30,dewy,"[""oleoso"", ""misto"", ""seco"", ""normal""]",$40-$44,-Avobenzone 1.9%- Octisalate 4%- Octocrylene 7.6% : Deliver broad-spectrum sun protection. Isododecane- Dimethicone Crosspolymer- Butyloctyl Salicylate- Iris Pallida Leaf Cell Extract- Lonicera Japonica Callus Extract- Nymphaea Alba Leaf Cell Extract- Glycyrrhiza Glabra (Licorice) Root Extract- Withania Somnifera Root Extract- Helianthus Annuus (Sunflower) Seed Oil- Flavor.,sephora,,True,,https://www.sephora.com/product/dawn-patrol-tm-classic-makeup-primer-spf-30-P419228?icid2=products grid:p419228,,sephora/open-dataset
COVER FX,Water Cloud Primer,natural,"[""normal"", ""misto""]",$35-$39,-Skin Defense Complex (Plankton Extract and Exopolisaccharide): Provides next-level defense against blue light and pollution.-Calendula (Pot Marigold) Water: Soothes- hydrates- and protects. Water- PVP- Glycerin- Hydrated Silica- Polysorbate 60- Nylon-6/12- Dimethicone/Vinyl Dimethicone Crosspolymer- Caprylyl Methicone- Polymethyl Methacrylate- HDI/Trimethylol Hexyllactone Crosspolymer- Propanediol- PEG-12 Dimethicone/PPG-20 Crosspolymer- Polymethylsilsesquioxane- Calendula Officinalis Flower Water- Sodium Polyacrylate Starch- Butylene Glycol- Hydroxyacetophenone- Silica- 1-2-Hexanediol- Caprylyl Glycol- Pectin- Isoceteth-10- Xanthan Gum- Scenedesmus Rubescens Extract- Plankton Extract- Alteromonas Ferment Extract- Phenoxyethanol- Sodium Benzoate- Potassium Sorbate- Titanium Dioxide (Ci 77891)- Blue 1 (Ci 42090). Clean at Sephora products are formulated without: Sulfates—SLS + SLES- Parabens- Formaldehydes- Formaldehyde-releasing agents- Phthalates- Mineral Oil- Retinyl Palmitate- Oxybenzone- Coal Tar- Hydroquinone- Triclosan- Triclocarban- Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate- ethyl methacrylate- methyl methacrylate- butyl methacrylate- hydroxypropyl methacrylate- tetrahydrofurfuryl methacrylate- trimethylolpropane trimethacrylate - aluminum salts)- Animal Oils/Musks/Fats- Benzophenone + Related Compounds- Butoxyethanol- Carbon Black- Lead/Lead Acetate- Methyl Cellosolve + Methoxyethanol- Methylchloroisothiazolinone & Methylisothiazolinone- Mercury + Mercury Compounds (Thimerisol)- Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off )- Resorcinol- Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.)- Toluene- Butylated hydroxyanisole (BHA)- Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula- Ethanolamines DEA/TEA/MEA/ETA- Nanoparticles as defined by the European Commission- Petrolatum and Parrafin that is not USP grade- Phenoxyethanol that is 1% or more of total formulation- Polyacrylamide & Acrylamide- The following types of Styrene (Bromostyrene- Deastyrene/acrylates/dvbcopolymer- sodium styrene/divinylbenzene copolymer - styrene oxide- styrene)- 1-4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off- wiped off or removed- 3ppm or < for products that are meant to remain on the skin).,sephora,False,,,https://www.sephora.com/product/water-cloud-primer-P440043?icid2=products grid:p440043,,sephora/open-dataset
